"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10210.pdf"" target=""_blank"">View PDF</a>","104-10290-10210","CIA",1,"Secret",1963-12-01,"PAPER - TEXTUAL DOCUMENT","MEXI","DIR","4/26/2018","CABLE: REQUEST TRACES CIT US, PDOB CALIFORNIA 1923, JAPAN 1946-48","JFK64-47 : F3B : 1999.03.30.08:59:51:700129 : DUP OF 104-10101-10267"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10219.pdf"" target=""_blank"">View PDF</a>","104-10290-10219","CIA",1,"Secret",1963-10-15,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","MEXICO CITY","4/26/2018","CABLE: CUBAN EXILES WITH POSSIBLE LINKS MEXI.","JFK64-47 : F4A : 1999.06.18.13:43:30:263128 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10273.pdf"" target=""_blank"">View PDF</a>","104-10290-10273","CIA",3,"Not Marked",1963-01-01,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","MEXICO CITY","4/26/2018","CABLE: REQUEST TRACES AND POA","JFK64-47 : F4A : 20040322-1061790 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10290-10309.pdf"" target=""_blank"">View PDF</a>","104-10290-10309","CIA",2,"Not Marked",1963-10-23,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","MEXICO CITY","4/26/2018","CABLE: REQUEST FOR TRACES ON A CUBAN OF OPERATIONAL INTEREST","JFK64-47 : F4B : 20040322-1061797 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10298-10184.pdf"" target=""_blank"">View PDF</a>","104-10298-10184","CIA",2,"Secret",1962-05-27,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","JMWAVE","4/26/2018","CABLE:MIAMI HERALD 27 MAY CARRIES FRONT PAGE ITEM BY JAMES BUCHANAN","JFK64-63 : F6 : 1999.03.26.13:33:43:890120 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10308-10053.pdf"" target=""_blank"">View PDF</a>","104-10308-10053","CIA",3,"Not Marked",1963-04-22,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE: REF DISCUSSED BY STA WITH EDMENT AND WARMBOLD.","JFK-WF02 : F005 : 20040322-1062017 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10308-10165.pdf"" target=""_blank"">View PDF</a>","104-10308-10165","CIA",2,"Not Marked",1963-12-18,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","RIO DE JANEIRO","4/26/2018","CABLE: AMSTRUT-10 VISITED 13 DECEMBER","JFK-WF02 : F9 : 20040323-1062385 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10308-10189.pdf"" target=""_blank"">View PDF</a>","104-10308-10189","CIA",1,"Secret",1963-10-11,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","CABLE RE BOOKS ON ESPIONAGE.","JFK-WF02 : F9 : 1998.09.20.13:22:44:466031 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10310-10142.pdf"" target=""_blank"">View PDF</a>","104-10310-10142","CIA",1,"Secret",1969-03-17,"PAPER - TEXTUAL DOCUMENT","DIRECTOR","WITHHELD","4/26/2018","CABLE:NAGELL LAST APPEARED AT ZURICH CONSULATE MORNING 7 MARCH","JFK-M-07 : F3 : 1998.11.14.10:32:57:763120 : DUPLICATE OF 104-10220-10033 (JFK64-55, F7).ARRB REQUEST. CIA-IR-34."
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10010.pdf"" target=""_blank"">View PDF</a>","104-10326-10010","CIA",2,"Not Marked",1998-05-01,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE: ARRB AND DEPT OF STATE REQUEST FOR ASSISTANCE IN APPROACHING (DELETION) FOR OSWALD FILE","JFK-M-11 : F1 : 20040323-1063416 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10326-10012.pdf"" target=""_blank"">View PDF</a>","104-10326-10012","CIA",2,"Not Marked",1998-03-13,"PAPER - TEXTUAL DOCUMENT","WITHHELD","DIRECTOR","4/26/2018","CABLE: ASSASSINATION RECORD REVIEW BOARD (ARRB) MEETINGS WITH (DELETION)","JFK-M-11 : F1 : 20040323-1063417 :"
