"PDF.Link","Record.Num","Originator","Pages","Current.Classification","Document.Date","Document.Type","To","From","Date.of.Review","Title","Comments"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10018.pdf"" target=""_blank"">View PDF</a>","104-10123-10018","CIA",1,"Secret",1969-03-12,"PAPER - TEXTUAL DOCUMENT","WITHHELD","E/AS/S","4/26/2018","CABLE RE REQUESTING NOTIFICATION IF RICHARD NAGELL'S AIRED GRIEVANCES ON RADIO/TV AS THREATENED.","JFK44 : F31 : 1994.03.29.11:28:34:000005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10019.pdf"" target=""_blank"">View PDF</a>","104-10123-10019","CIA",1,"Secret",1969-03-05,"PAPER - TEXTUAL DOCUMENT","WITHHELD","E/AS/S","4/26/2018","CABLE RE RICHARD NAGELL'S MENTAL CONDITION.","JFK44 : F31 : 1994.03.29.11:33:34:590005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10020.pdf"" target=""_blank"">View PDF</a>","104-10123-10020","CIA",2,"Secret",1969-02-28,"PAPER - TEXTUAL DOCUMENT","DIRECTOR; [DELETION]","WITHHELD","4/26/2018","CABLE RE NAGELL'S VISIT TO CONSULATE.","JFK44 : F31 : 1994.03.29.11:38:11:440005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10022.pdf"" target=""_blank"">View PDF</a>","104-10123-10022","CIA",1,"Secret",1969-03-05,"PAPER - TEXTUAL DOCUMENT","DIRETOR","WITHHELD","4/26/2018","CABLE ON RICHARD NAGELL CONTACT WITH ZURICH CONSULATE.","JFK44 : F31 : 1994.03.29.11:56:35:650005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10097.pdf"" target=""_blank"">View PDF</a>","104-10123-10097","CIA",1,"Secret",1962-07-03,"PAPER - TEXTUAL DOCUMENT","C/TSD","WHITE, VICTOR, DD/OS/I&OS","4/26/2018","ALIAS DOCUMENTATION FOR JAMES O'CONNELL.","JFK44 : F35 : 1994.03.30.08:59:32:940005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10098.pdf"" target=""_blank"">View PDF</a>","104-10123-10098","CIA",1,"Secret",1962-04-09,"PAPER - TEXTUAL DOCUMENT","C/TSD","WHITE, VICTOR, DD/OS/I&OS","4/26/2018","ALIAS DOCUMENTATION ON JAMES O'CONNELL.","JFK44 : F35 : 1994.03.30.09:01:10:590005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10160.pdf"" target=""_blank"">View PDF</a>","104-10123-10160","CIA",1,"Secret",1961-01-19,"PAPER - TEXTUAL DOCUMENT","CHIEF, CSD, CIA","LEONARD, ROBERT J., CIA","4/26/2018","COVERT SITE [USE OF APT FOR HEDE MASSING].","JFK44 : F8 : 1994.03.30.13:12:55:870007 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10219.pdf"" target=""_blank"">View PDF</a>","104-10123-10219","CIA",3,"Secret",1965-02-26,"PAPER - TEXTUAL DOCUMENT","DD/SUPPORT","OSBORN, HOWARD, D/OS","4/26/2018","KEY ASSIGNMENT OFFICE OF SECURITY.","JFK44 : F35 : 1994.04.07.15:30:33:000005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10220.pdf"" target=""_blank"">View PDF</a>","104-10123-10220","CIA",1,"Secret",1963-06-19,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","SECURITY INDOCTRINATION AND SECRECY AGREEMENT -- JAMES P. O'CONNELL.","JFK44 : F35 : 1994.04.07.15:32:17:870005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10223.pdf"" target=""_blank"">View PDF</a>","104-10123-10223","CIA",1,"Secret",1963-04-25,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","CABLE RE CLEARANCE STATUS FOR JAMES P. O'CONNELL.","JFK44 : F35 : 1994.04.07.15:37:51:280005 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10407.pdf"" target=""_blank"">View PDF</a>","104-10123-10407","CIA",4,"Secret",1966-08-04,"PAPER - TEXTUAL DOCUMENT","SEC ADVISOR, HMAB, CIA","WITHHELD","4/26/2018","HONOR RECOMMENDATION FOR JAMES W. MCCORD, JR. (COVER MEMO)","JFK44 : F11 : 1994.04.11.15:51:02:720007 : 1 OF 2; ACTUAL FORM IS ATTACHED TO THIS MEMO."
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10123-10421.pdf"" target=""_blank"">View PDF</a>","104-10123-10421","CIA",1,"Secret",1964-01-01,"PAPER - TEXTUAL DOCUMENT","CIA","CIA","4/26/2018","BIO DATA AND PHOTO OF JAMES W. MCCORD, JR.","JFK44 : F11 : 1994.04.12.08:43:05:720007 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10124-10037.pdf"" target=""_blank"">View PDF</a>","104-10124-10037","CIA",1,"Secret",1959-03-02,"PAPER - TEXTUAL DOCUMENT","CIA","HAB, CIA","4/26/2018","REPORT FOR AWARDS BOARD [NOMINATION FOR CERTIFICATE OF MERIT AND DISTINCTION FOR JAMES W. MCCORD, JR.].","JFK44 : F11 : 1994.04.12.15:23:16:000007 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10124-10149.pdf"" target=""_blank"">View PDF</a>","104-10124-10149","CIA",1,"Secret",1960-03-21,"PAPER - TEXTUAL DOCUMENT","SS/OL/CIA","O'CONNOR, JAMES P., C/TSD/OS/CIA","4/26/2018","IDENTIKIT [ATTACHED TO THIS MEMO IS A COPY OF AN ARTICLE APPEARING IN THE FEBRUARY 1960 ISSUE OF SCIENCE AND MECHANIS MAGAZINE].","JFK44 : F12 : 1994.04.19.11:15:40:530007 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10126-10194.pdf"" target=""_blank"">View PDF</a>","104-10126-10194","CIA",1,"Unclassified",1977-03-30,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","JOURNAL - OFFICE OF LEGISLATIVE COUNSEL WEDNESDAY - 30 MARCH 1977.","JFK57 : F7 : 1993.08.06.18:14:40:900028 :"
"<a href=""https://www.archives.gov/files/research/jfk/releases/2025/0318/104-10126-10253.pdf"" target=""_blank"">View PDF</a>","104-10126-10253","CIA",1,"Secret",1978-06-28,"PAPER - TEXTUAL DOCUMENT","","","4/26/2018","JOURNAL OFFICE OF LEGISLATIVE COUNSEL WEDNESAY 28 JUNE 1978.","JFK57 : F9 : 1993.08.07.07:05:30:750027 :"
